route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
TB3,A,5,УМБАЛ СВ. АННА-УХО - Пл. Руски паметник - УМБАЛ СВ. АННА-УХО,,11,,27AAE1,FFFFFF,,,
A70,A,5,СЕЛО ДОЛНИ ЛОЗЕН - АВТОСТАНЦИЯ ГЕО МИЛЕВ - СЕЛО ДОЛНИ ЛОЗЕН,,3,,BE1E2D,FFFFFF,,,
A44,A,101,ФОНДОВИ ЖИЛИЩА - ЦЕНТРАЛНА ГАРА - ФОНДОВИ ЖИЛИЩА,,3,,BE1E2D,FFFFFF,,,
TB10,A,1,Ж.К. БОРОВО - УЛ. ВИТИНЯ - Ж.К. БОРОВО,,11,,27AAE1,FFFFFF,,,
A182,A,384,ж.к. Дружба 2 - Летище София Терминал 2 - ж.к. Дружба 2,,3,,BE1E2D,FFFFFF,,,
TB40,A,Д1,Бул. Братя Бъкстон - Ж.К. ГОЦЕ ДЕЛЧЕВ - Бул. Братя Бъкстон,,11,,27AAE1,FFFFFF,,,
A31,A,44,КВ. ИВАНЯНЕ - АВТОСТАНЦИЯ БАНКЯ - КВ. ИВАНЯНЕ,,3,,BE1E2D,FFFFFF,,,
A193,A,47,КВ. ГРАДОМАН - МЕТРОСТАНЦИЯ СЛИВНИЦА - КВ. ГРАДОМАН,,3,,BE1E2D,FFFFFF,,,
A87,A,305,ЦЕНТРАЛНА ГАРА - КУЛИНАРЕН К-Т ПЕЙФИЛ - ЦЕНТРАЛНА ГАРА,,3,,BE1E2D,FFFFFF,,,
TM28,A,3,Гара София север - Гара Захарна фабрика - Гара София север,,0,,F7941D,FFFFFF,,,
A202,A,12Т,Автостанция Илиянци - ГАРА СОФИЯ СЕВЕР - Автостанция Илиянци,,3,,BE1E2D,FFFFFF,,,
TM55,A,27,Ул. Пиротска - НАДЛЕЗ НАДЕЖДА - Ул. Пиротска,,0,,F7941D,FFFFFF,,,
A248,A,19,Кв. Обеля - Ж.к. Обеля 1 - Кв. Обеля,,3,,BE1E2D,FFFFFF,,,
A110,A,90,Град Бухово - АП Малашевци - Град Бухово,,3,,BE1E2D,FFFFFF,,,
A41,A,18,Станция Орландовци - Мелницата Чепинци - Станция Орландовци,,3,,BE1E2D,FFFFFF,,,
TM25,A,5,Пл. Македония - Кв. Княжево - Пл. Македония,,0,,F7941D,FFFFFF,,,
A168,A,7TM,БУЛ. ЧЕРНИ ВРЪХ - НИМ - БУЛ. ЧЕРНИ ВРЪХ,,3,,BE1E2D,FFFFFF,,,
TB30,A,7А,Ж.К. ЛЮЛИН-3 - УХО - Ж.К. ЛЮЛИН-3,,11,,27AAE1,FFFFFF,,,
TB41,A,801,УМБАЛ СВ. АННА-УХО - Ж.К. ОВЧА КУПЕЛ-2 - УМБАЛ СВ. АННА-УХО,,11,,27AAE1,FFFFFF,,,
A217,A,304,НИМ-ВРЕМЕННА - Ж.К. ДРУЖБА-2 - НИМ-ВРЕМЕННА,,3,,BE1E2D,FFFFFF,,,
A90,A,413,ГАРА СОФИЯ СЕВЕР - ТЕХНОПОЛИС Ж.К. МЛАДОСТ-4 - ГАРА СОФИЯ СЕВЕР,,3,,BE1E2D,FFFFFF,,,
TB39,A,73,Ж.К. ОВЧА КУПЕЛ 2 - НЦ ПО РЕХАБИЛИТАЦИЯ - Ж.К. ОВЧА КУПЕЛ 2,,11,,27AAE1,FFFFFF,,,
A38,A,12,Автостанция Изток - Село Долни Богров - Автостанция Изток,,3,,BE1E2D,FFFFFF,,,
TM56,A,21,Депо Искър - Ж.К. ГЕО МИЛЕВ - Депо Искър,,0,,F7941D,FFFFFF,,,
A57,A,94,Студентски град - СУ. СВ. КЛИМЕНТ ОХРИДСКИ - Студентски град,,3,,BE1E2D,FFFFFF,,,
A100,A,404,ЦЕНТРАЛНА ГАРА - АП ДРУЖБА - ЦЕНТРАЛНА ГАРА,,3,,BE1E2D,FFFFFF,,,
A200,A,314,Ж.К. МЛАДОСТ-2 - СЕЛО БИСТРИЦА - Ж.К. МЛАДОСТ-2,,3,,BE1E2D,FFFFFF,,,
A36,A,119,СУПЕРМАРКЕТ - АВТОСТАНЦИЯ ИЗТОК - СУПЕРМАРКЕТ,,3,,BE1E2D,FFFFFF,,,
A104,A,27,МЕТРОСТАНЦИЯ КН. МАРИЯ ЛУИЗА - СЕЛО КЪТИНА - МЕТРОСТАНЦИЯ КН. МАРИЯ ЛУИЗА,,3,,BE1E2D,FFFFFF,,,
TB9,A,2,Ж.к. Хаджи Димитър - Ж.К.БЪКСТОН - Ж.к. Хаджи Димитър,,11,,27AAE1,FFFFFF,,,
A82,A,88,ЗООПАРКА - Ж.К. ДРУЖБА-2 - ЗООПАРКА,,3,,BE1E2D,FFFFFF,,,
A77,A,67,Ж.К. ДИАНАБАД - СЕМИНАРИЯТА - Ж.К. ДИАНАБАД,,3,,BE1E2D,FFFFFF,,,
TB38,A,12T,Бул. Княгиня Мария Луиза - Автостанция Илиянци - Бул. Княгиня Мария Луиза,,11,,27AAE1,FFFFFF,,,
A121,A,8TM,ПЛ. ВЪЗРАЖДАНЕ - Ж.К. ЗАПАДЕН ПАРК - ПЛ. ВЪЗРАЖДАНЕ,,3,,BE1E2D,FFFFFF,,,
A80,A,75,АВТОСТАНЦИЯ ГЕО МИЛЕВ - УЛ. БОЯН МАГЕСНИК - АВТОСТАНЦИЯ ГЕО МИЛЕВ,,3,,BE1E2D,FFFFFF,,,
A99,A,84,РАЗКЛОНА ЗА ЛЕТИЩЕТО - ВОЕННА АКАДЕМИЯ - РАЗКЛОНА ЗА ЛЕТИЩЕТО,,3,,BE1E2D,FFFFFF,,,
A85,A,213,Ж.К. МЛАДОСТ-4 - ЦЕНТРАЛНА ГАРА - Ж.К. МЛАДОСТ-4,,3,,BE1E2D,FFFFFF,,,
A26,A,108,СТАДИОН ЛОКОМОТИВ - ВРЕМЕННА - СТАДИОН ЛОКОМОТИВ,,3,,BE1E2D,FFFFFF,,,
TM32,A,6,Ж.К.ИВАН ВАЗОВ - ХЮНДАЙ БЪЛГАРИЯ - Ж.К.ИВАН ВАЗОВ,,0,,F7941D,FFFFFF,,,
A78,A,69,ЦАРЕВА МАХАЛА - НСБАЛ ПО ОНКОЛОГИЯ - ЦАРЕВА МАХАЛА,,3,,BE1E2D,FFFFFF,,,
A68,A,3,ПЛОЩАД  НА АВИАЦИЯТА - СЕЛО ДОЛНИ ПАСАРЕЛ - ПЛОЩАД  НА АВИАЦИЯТА,,3,,BE1E2D,FFFFFF,,,
A50,A,29,СЕЛО БАЛША - ГАРА СОФИЯ СЕВЕР - СЕЛО БАЛША,,3,,BE1E2D,FFFFFF,,,
A227,A,N4,Ж.К. ДРУЖБА-2 - Ж.К. ГОЦЕ ДЕЛЧЕВ - Ж.К. ДРУЖБА-2,,3,,000000,FFFFFF,,,
A48,A,26,Ж. К. ОБЕЛЯ 1 - СЕЛО МИРОВЯНЕ - Ж. К. ОБЕЛЯ 1,,3,,BE1E2D,FFFFFF,,,
A29,A,107,Боянска църква - Бул. Никола Петков - Боянска църква,,3,,BE1E2D,FFFFFF,,,
A252,A,X9,МЕТРОСТАНЦИЯ АКАД. А. Т.- БАЛАН - Ж.К. ЛОЗЕНЕЦ - МЕТРОСТАНЦИЯ АКАД. А. Т.- БАЛАН,,3,,BE1E2D,FFFFFF,,,
TB1,A,4,ПЛОЩАД  НА АВИАЦИЯТА - Ж.К. ДРУЖБА-2 - ПЛОЩАД  НА АВИАЦИЯТА,,11,,27AAE1,FFFFFF,,,
A46,A,24,Автостанция Орландовци - Село Локорско - Автостанция Орландовци,,3,,BE1E2D,FFFFFF,,,
A75,A,10,ГАРА ИСКЪР - КВ. Д. МИЛЕНКОВ - ГАРА ИСКЪР,,3,,BE1E2D,FFFFFF,,,
TB25,A,84,"Бл.3, ж.к. Дружба-1 - ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 2 - Бл.3, ж.к. Дружба-1",,11,,27AAE1,FFFFFF,,,
A109,A,30,СЕЛО БАЛША - Ж.К. ОБЕЛЯ 1 - СЕЛО БАЛША,,3,,BE1E2D,FFFFFF,,,
A254,A,803,МЕТРОСТАНЦИЯ ГОРНА БАНЯ - КАНТОНА - МЕТРОСТАНЦИЯ ГОРНА БАНЯ,,3,,BE1E2D,FFFFFF,,,
A52,A,78,ПЛОЩАДА КВ. ВРАЖДЕБНА - Централна гара - ПЛОЩАДА КВ. ВРАЖДЕБНА,,3,,BE1E2D,FFFFFF,,,
